,tag,movieId,score,tag_lowercase_dups
111,'Don't Cry Jen I Promise We'll Kill Them All',54736,-12.0,
112,'Don't Look Into Berry's Headlights She'll Turn You Into Wood',52456,-7.0,
113,'Don't Watch 'Criminal' Totally Butchered',5319,-3.0,
114,'Double Fudge Bus',48744,-2.0,
115,'Erasing' effect,78247,0.0,
116,"'H Christ!""",6511,-3.0,
117,'Heads Or Tails...Call It',55820,-9.0,
118,'Hey Dan Do You Mind Having Rabbit Stew For A Pick-Me-Up?',3101,-3.0,
119,'I Can't Get That Theme Song Out Of My Head',3660,-1.0,
120,'I Don't Care If You Have Cholera It's Still Heads Or Tails...Call It',56001,-9.0,
121,'I Guess Repression Does Have It's Moments After All',1674,-6.0,
122,'I Had No Idea That You Were A F****** Vampire!',49961,-3.0,
123,'I Have Never Had Any Foreign Relations With That Woman Hillary Lewinsky',6914,-4.0,
124,'I Love You Anna!',55276,-8.0,
125,'I Want To Meke Romance Explosion On Her Stomatch!',48385,-2.0,
126,'I Will Give My Kingdom For A Great Piece Of TWAT!',55995,-19.0,
127,'I'll Give You 10 Seconds Head Start...10!',52717,-3.0,
128,'In your face' violence,55080,0.0,
129,'Is That What He Called It?',7925,-2.0,
130,'Is That What She Calls It?',8505,-3.0,
131,'Isreal' plot,78247,0.0,
132,'It Should Have Been Kept A Secret',56775,-13.0,
133,'It's Just Hostel 3 With Better Actors',51037,-9.0,
134,'It's Not Where Your Dreams Take You But Who You Take In Your Dreams' hahaha!,2076,-5.0,
135,'Know Why I Like Butchering Pigs? It's Like Killing Cops But Without The Jail Time',5956,-4.0,
136,'Lemme Get This Straight. You Have No Idea Who You Are But You Wanna Be Famous?',44511,-1.0,
137,'More Like Skankwalkers',54270,-4.0,
138,'Ndràngheta,182825,1.0,
139,'Now If Only Dubya Could Wash Me Whites,53894,-9.0,
140,'Oh Edward!  A Mr. Todd Would Like You To Cut His Hair',56757,-11.0,
141,'Oh Spock! Oh Jim! Oh Bones!' WTF!? Et Tu Herr Doktor? Heil!,1372,-3.0,
142,'Oh The Whore-ror!',1208,-4.0,
143,'On A Steel Horse I Ride I'm Wanted (waaaanteeddd) Dead Or Alive',3755,-3.0,
144,'Please Tell Me We Brought The Lighter...Please',52328,-18.0,
145,'Priceline Negotiator!',45431,-3.0,
146,'Saving Silverman Part Deux',52867,-1.0,
147,'sexy',1805,-1.0,
148,'Show Me The Money! I Can't Hear You Haji Scream Louder!',55284,-11.0,
149,'So How Did Lois Survive Date Nite?',46530,-5.0,
150,'STFU!',55080,-6.0,
151,'Stop Banging The Doorbell I'm Landscaping My Kitchen Sink!',3471,-2.0,
152,'stop wanking,63033,-13.0,
153,'Take This Sinking Boat & Point It Home You Hoover Fixer Sucker Guuuyyy!',53123,-7.0,
154,'That's All An Inmate Wants...Simple Pleasures',2268,-3.0,
155,'That's Where You Enter From Behind After A Running Jump',26413,-3.0,
156,'The Ninja Assault Gets A 3peat',7143,-3.0,
157,'The Other Movie Did It's Job...This Must Be The Wrong Movie',55272,-12.0,
158,'The weapon',87222,-2.0,
159,'The What?!',5995,-3.0,
160,'There's A Lotta These At Used Book Stores...Hmmm I Wonder Why It Sucks That Bad',36517,-5.0,
161,'There's Shit In The Meat!',49347,-3.0,
162,'This Is My Gun. I Love To Touch My Gun. Touch My Gun.',31617,-7.0,
163,'What I Really Wanna Know Is...Does Alba Get Sooper Nekkid?',53464,-13.0,
164,'Why Is Everyone Running Around With Puppets Up Their A**?!',6656,-3.0,
165,'Why Is My Arm Wet? Oh It's Just A Crushed Baby',54999,-13.0,
166,'Why Yes I Would So Love To Sketch Nudes In Costco!',53318,-10.0,
167,'Wow Mrs. Robinson Your Porridge Is Just Right!',1247,-2.0,
168,'Yeah The Test Audience Thought That Was A Better Title...More Upbeat',5807,-1.0,
169,'You Know What They Say About Short Men With Little Toes',31410,-2.0,
170,(mostly) for kids,5971,-1.0,
171,(not really) a true story,37720,-1.0,
172,(s)vcd,155762,-215.0,
173,(too) slow-paced,3730,-1.0,
174,************************,90300,2.0,
175,*Good* Musicals,16387,-18.0,
176,*NOT* Matt Damon,26614,-5.0,
177,*reps*,2987,-5.0,
178,+++++++++++++++,61240,-14.0,
179,+scifi,260,1.0,
180,",music business",2348,1.0,
181,.,7043,0.0,
182,...'Livin' In An Amish Paradise',6963,-4.0,
183,...And this film has got nothing to with the action flick starring Rutger Hauer,7141,-19.0,
184,...but not quite,2862,1.0,
185,...that it's finally over,60760,-6.0,
186,...to pay me to watch this again.,3082,-6.0,
187,/b/,220909,-3.0,
188,/suspense,318,2.0,
189,0 stars,2136,-4.0,
190,007,433162,182.0,
191,007 (series),287579,16.0,
192,007 movies are bad.,10,0.0,
193,007 rocks,1722,-5.0,
194,007-like,8961,0.0,
195,01.02.05,7460,-4.0,
196,01.03.06,6291,-6.0,
197,01.04.06,32291,-7.0,
198,01.10.05,306,-7.0,
199,01/10,2748102,-275.0,
200,01/11,7371234,-588.0,
201,01/12,5518815,-174.0,
202,01/13,99349,-4.0,
203,01/14,209689,0.0,
204,01/15,612678,-3.0,
205,02.04.06,2442,-3.0,
206,02/10,1797982,-192.0,
207,02/11,6996331,-520.0,
208,02/13,99349,-4.0,
209,02/14,209689,0.0,
210,02/15,633946,2.0,
211,03/09,923039,-107.0,
212,03/10,3424450,-293.0,
213,03/11,7545714,-542.0,
214,03/13,301237,-7.0,
215,03/15,879260,3.0,
216,04.03.06,27721,-13.0,
217,04.04.06,2427,-10.0,
218,04/09,411648,-62.0,
219,04/10,332294,-28.0,
220,04/11,4255519,-320.0,
221,04/14,209689,0.0,
222,04/15,637135,1.0,
223,05.02.06,27416,-8.0,
224,05.03.06,1653,-8.0,
225,05.04.06,1464,-11.0,
226,05/09,224208,-27.0,
227,05/10,3197210,-284.0,
228,05/11,7718309,-530.0,
229,05/13,280631,-4.0,
230,05/14,206915,-3.0,
231,06 Oscar Nominated Best Movie,191379,-10.0,
232,06 Oscar Nominated Best Movie - Animation,147839,-9.0,
233,06 Oscar Nominated Best Movie - Foreign Language,44204,-1.0,
234,06.04.06,1584,-8.0,
235,06/09,235533,-31.0,
236,06/10,3410917,-294.0,
237,06/11,8971667,-622.0,
238,06/13,280631,-4.0,
239,06/14,206915,-3.0,
240,07.01.06,11610,-18.0,
241,07.02.06,6370,-11.0,
242,07.04.06,6876,-3.0,
243,07.05.06,27839,-6.0,
244,07/09,366887,-26.0,
245,07/10,2432146,-220.0,
246,077,379662,3.0,
247,08.02.06,1844,-15.0,
248,08.05.06,5668,-3.0,
249,08/09,711428,-64.0,
250,08/10,3771757,-334.0,
251,08/12,96062,-1.0,
252,08/13,181282,-1.0,
253,09.01.06,6067,-2.0,
254,09.02.06,5466,-5.0,
255,09.03.06,4021,-6.0,
256,09.05.06,1393,-7.0,
257,09/09,390584,-39.0,
258,09/10,2424497,-228.0,
259,1,108573,-160.0,
260,1 v 1 with some other spy,96079,-1.0,
261,1-4-2007,923,-4.0,
262,1.33:1 aspect ratio,106452,1.0,
263,1.5,226473,-179.0,
264,1/18,414075,3.0,
265,10,2865,-11.0,
266,10 minutes of spinning crap,60338,2.0,
267,10-2-2008,53921,-5.0,
268,10.01.06,4273,-4.0,
269,10.02.06,1279,-9.0,
270,10.06.06,6100,-5.0,
271,10/09,1368992,-165.0,
272,10/10,5105133,-481.0,
273,10/11,1817358,-98.0,
274,10/12,96062,-1.0,
275,10/13,181282,-1.0,
276,100 dead horses,1287,-1.0,
277,100 Essential Female Performances,799093,-34.0,100 essential female performances;
278,100 Greatest Movies,172462,10.0,100 greatest movies;
279,100% predictable,53956,-1.0,
280,1000 mile adventure,32593,0.0,
281,1000th rating,44937,0.0,
282,1001 night tales,298225,3.0,
283,1001 nights tales,157365,1.0,
284,10th century,127610,3.0,
285,11 Oscars,7153,1.0,
286,11 year old explicit violence,76251,5.0,
287,11-2-2008,47629,-2.0,
288,11-5-2007,91043,-10.0,
289,11.01.06,31956,-5.0,
290,11/09,2033562,-209.0,
291,11/10,7007401,-547.0,
292,11/11,7645490,-303.0,
293,11/13,181282,-1.0,
294,11th century,229156,5.0,
295,12,1282,-2.0,
296,12 years in the making,112290,16.0,
297,12-1-2007,52201,-29.0,
298,12-5-2007,4977,-1.0,
299,12.01.06,30803,-6.0,
300,12.03.06,7265,-11.0,
301,12.06.06,27821,-7.0,
302,12.28.08,64575,-10.0,
303,12/09,2027944,-217.0,
304,12/10,5697313,-455.0,
305,12/11,6201601,-234.0,
306,12/13,101971,0.0,
307,1223,508,-3.0,
308,123,73666,-8.0,
309,12th century,567450,8.0,12th Century;
310,13,81788,-11.0,
311,13.01.06,8970,-11.0,
312,13/13,110982,0.0,
313,1300s,151629,1.0,
314,1304,108517,-1.0,
315,1305,629340,-11.0,
316,13th Century,97406,3.0,13th century;
317,14-10-2007,48774,-4.0,
318,14-12-2006,49272,-11.0,
319,14-2-2007,45668,-6.0,
320,14.01.06,1597,-7.0,
321,14.06.06,30707,-7.0,
322,14.07.06,27803,-9.0,
323,143,374670,1.0,
324,14th century,289546,7.0,14th Century;
325,15 minute long flashback scene,70208,1.0,
326,15.01.06,4392,-6.0,
327,15.02.06,3606,-19.0,
328,15555555555,31408,-9.0,
329,15th Century,167370,2.0,15th century;
330,16 Nic cages,51412,-2.0,
331,16-year-old,6291,1.0,
332,16.01.06,2973,-9.0,
333,1600s,48,1.0,
334,16mm,114126,0.0,
335,16th century,1542285,38.0,
336,17-1-2008,54686,-4.0,
337,1700's,42015,1.0,
338,1753,42015,1.0,
339,1790s,40629,1.0,
340,17th century,2879674,53.0,
341,17th century America,1366,1.0,
342,18 wheeler,5247,0.0,
343,18+,189923,1.0,
344,18-11-2006,46723,-11.0,
345,18.01.06,1244,-7.0,
346,18.03.06,6596,-4.0,
347,1800's,150408,3.0,
348,1800s,214647,6.0,
349,1820s,139385,2.0,
350,1840s,93982,1.0,
351,1860s,261,1.0,
352,1863,4047,1.0,
353,1867,114130,1.0,
354,1870s,177216,2.0,
355,1874,106130,1.0,
356,1877,7143,-3.0,
357,1880s,94150,1.0,
358,1890s,241514,-2.0,
359,18th century,4238830,145.0,18th Century;
360,18th Century Russia,152284,0.0,
361,19-8-2007,54286,-15.0,
362,19.01.06,1732,-9.0,
363,19.02.06,1354,-5.0,
364,1900,26245,1.0,
365,1900's,1913,1.0,
366,1900s,539907,2.0,
367,1905 Revolution,3742,0.0,
368,1910s,3295777,42.0,
369,1918,78635,0.0,
370,1920,67429,0.0,
371,1920's,974954,37.0,
372,1920s,6033006,179.0,
373,1922,178523,1.0,
374,1926,135143,1.0,
375,1930's,306928,-1.0,
376,1930s,6736004,235.0,
377,1930ties,187551,1.0,
378,1932,1207,1.0,
379,1935,3111,1.0,
380,1936,7128,1.0,
381,1939,81342,0.0,
382,1940,7128,1.0,
383,1940's,766971,7.0,
384,1940's feel,8865,-1.0,
385,1940s,10398927,151.0,
386,1942,164981,1.0,
387,1943,162600,1.0,
388,1947,6682,0.0,
389,1950,183340,3.0,
390,1950's,478721,12.0,
391,1950's Production,47287,0.0,
392,1950s,7658074,222.0,
393,1950s housewives,105448,9.0,
394,1950s society,133645,9.0,
395,1951 Academy Award for Special Effects,4813,0.0,
396,1955,2011,1.0,
397,1957,143385,3.0,
398,1958,166572,1.0,
399,1959,3543,1.0,
400,1960,8154,1.0,
401,1960's,106646,6.0,
402,1960's Jim Crow,4326,3.0,
403,1960s,13501331,381.0,
404,1960s aesthetics,184077,1.0,
405,1960s fashion,66421,2.0,
406,1960s Tokyo,26159,1.0,
407,1963,51991,2.0,
408,1964,50740,1.0,
409,1965 Cannes,188627,1.0,
410,1966,7128,1.0,
411,1968,125045,1.0,
412,1969,122819,1.0,
413,1970,362947,3.0,
414,1970's,598750,17.0,
415,1970s,19300413,424.0,
416,1970s humour,1136,1.0,
417,1970s period piece,114704,1.0,
418,1973,1997,1.0,
419,1977,53027,2.0,
420,1979,3420,1.0,
421,1980,2386,-2.0,
422,1980's,198376,7.0,
423,1980's cult,1968,10.0,
424,1980s,15003097,472.0,
425,1981,118898,1.0,
426,1984,278999,5.0,
427,1985,2011,1.0,
428,1986,165493,1.0,
429,1987,108780,0.0,
430,1989,173941,1.0,
431,1990's,2093,1.0,
432,1990s,4616706,97.0,
433,1997,260,0.0,
434,1998,31007,2.0,
435,1999,3113,1.0,
436,1999 Seattle Protest,65631,0.0,
437,19th century,15559956,371.0,19th Century;
438,19th Century Russia,152284,0.0,
439,1D characterisation,93838,1.0,
440,1D characters,140565,1.0,
441,1st bad,159403,1.0,
442,1st century,320603,4.0,
443,2,304846,-229.0,
444,2 endings,7254,-5.0,
445,2 movies in 1,53503,0.0,
446,2 or 3 hilarious parts - but too boring to see again,35836,-3.0,
447,2-2-2008,52722,-1.0,
448,2-2-208,52604,-5.0,
449,2-dimensional,592,0.0,
450,2.5,122956,-257.0,
451,20's,222025,5.0,
452,20.01.06,5016,-6.0,
453,20.03.06,5617,-11.0,
454,20.08.05,34048,-10.0,
455,2000,151355,1.0,
456,2000 style,50796,1.0,
457,2000's movies,133567,1.0,
458,2000s,1844902,1.0,
459,2000s Horror,27434,1.0,
460,2001 inverted,4370,-4.0,
461,2001 knockoff,103721,1.0,
462,2001-like,68237,-2.0,
463,2003,196506,1.0,
464,2004,8867,1.0,
465,2006,4378,-12.0,
466,2006 Best Picture Oscar Nominee,47202,-8.0,
467,2006 reissue in Stereoscopic 3-D,551,0.0,
468,20060407,16,-2.0,
469,2008 crisis,68324,1.0,
470,2009 reissue in Stereoscopic 3-D,4083,-1.0,
471,2010,103306,1.0,
472,2010s,441255,2.0,
473,2012,183164,-7.0,
474,2013,207312,2.0,
475,2014,3851052,22.0,
476,2014/01,106344,1.0,
477,2015,5908063,2.0,
478,2015 Academy Award Nomination ANIMATED FEATURE FILM,574342,-1.0,
479,2015 Academy Award Nomination BEST ACTOR,576979,0.0,
480,2015 Academy Award Nomination BEST ACTOR SUPPORTING ROLE,568356,0.0,
481,2015 Academy Award Nomination BEST ACTRESS,580218,1.0,
482,2015 Academy Award Nomination BEST ACTRESS SUPPORTING ROLE,579167,2.0,
483,2015 Academy Award Nomination BEST PICTURE,913734,2.0,
484,2015-08,115713,-1.0,
485,2016,6389289,41.0,
486,2016 DVD-R,6754,0.0,
487,2017,1073484,3.0,
488,2018,1281032,9.0,
489,2020s,48774,0.0,
490,2030s,8644,4.0,
491,2035,7128,1.0,
492,2040s,140956,1.0,
493,2080s,6882,0.0,
494,2090s,32554,1.0,
495,20s,432021,9.0,
496,20th Century,19698,5.0,20th century;
497,20th century current events,356,0.0,
498,20th Century Fox fanfare,3793,2.0,
499,20th century history,356,1.0,
500,20th century period piece,356,0.0,
501,21.02.06,8260,-5.0,
502,21.03.06,431,-14.0,
503,21.08.05,34319,-7.0,
504,21st century,2045670,16.0,21st Century;
505,22-7-2007,49822,-7.0,
506,22.01.06,3969,-15.0,
507,220 foot free-fall,5854,0.0,
508,23,51086,1.0,
509,23-12-2007,8376,-5.0,
510,23-5-2007,81,-7.0,
511,23.03.06,11,-9.0,
512,2323232,2762,-8.0,
513,25,1298,-1.0,
514,25-02-2007,6953,-11.0,
515,25.02.06,7034,-10.0,
516,25th century,37386,1.0,
517,26.01.06,5517,-4.0,
518,26.02.06,6953,-12.0,
519,26.03.06,3813,-4.0,
520,27-01-2007,37727,-7.0,
521,27-12-2007,159516,-11.0,
522,28 days later rip-off,56174,-2.0,
523,28.06.06,2065,-10.0,
524,28.12.05,38798,-8.0,
525,29--9-2007,48516,-6.0,
526,29-11-2006,6003,-9.0,
527,29.03.06,1295,-10.0,
528,2CV,6773,0.0,
529,2D,353486,1.0,
530,2D animation,824435,61.0,2D Animation;2d animation;
531,2D characters,141073,-1.0,
532,2D Disney Animation,2687,7.0,
533,2D/3D hybrid Animation,28469,13.0,
534,2nd century,3578,1.0,
535,2nd ok,159403,1.0,
536,2nd world war,527,3.0,
537,2nd worst Gilliam,3108,-4.0,
538,"2nd worst movie ever made. Tom Kinny's ""Binky"" is the creepiest clown ever.",3544,1.0,
539,2rate,2579,-7.0,
540,2Âº best batmam movie,592,-1.0,
541,3,453346,-407.0,
542,3 dimensional,117474,1.0,
543,3 short stories,32554,3.0,
544,3 stars for special effects,45442,-4.0,
545,3 tissues,1958,-1.0,
546,3-12-2006,45722,-14.0,
547,3-D,3930,0.0,3-d;
548,3-D animation,182683,1.0,
549,3-Depix,1976,0.0,
550,3-hours of sex and drugs,106782,34.0,
551,3.5,276568,-196.0,
552,3/11,98061,1.0,
553,30 Daze Of Shite,55282,-16.0,
554,30 for 30,2123997,14.0,
555,30 rock,97906,-1.0,
556,30% truth 70% story,58376,-11.0,
557,30.03.06,7008,-6.0,
558,300,57532,0.0,
559,300 Spoof,57532,1.0,
560,30s,154543,-4.0,
561,31-3-2007,48982,-7.0,
562,31.03.06,1876,-5.0,
563,35mm,101285,0.0,
564,360 degree panning,2571,-1.0,
565,360 video,168748,1.0,
566,39 shots,27366,0.0,
567,3D,3066195,83.0,3d;
568,3d animation,256329,2.0,
569,3D effects,305320,35.0,
570,3d graphics,182349,1.0,
571,3D in your face,33681,0.0,
572,3d printing,125537,2.0,
573,3D version,568030,14.0,3d version;
574,3rd ok,159403,1.0,
575,3rd story not as good as the first two,32554,0.0,
576,4,157750,-183.0,
577,4 alternate versions,31427,-2.0,
578,4 or 4.5?,30707,-9.0,
579,4.5,56293,-45.0,
580,4.5-filmafinity,31804,0.0,
581,4/5,6934,-1.0,
582,40 year old virgin,44364,-7.0,
583,40's,120825,0.0,
584,40s,177243,1.0,
585,435,45361,-3.0,
586,44 Magnum,4855,1.0,
587,4555455,2273,-1.0,
588,47 Ronin,121727,1.0,47 ronin;
589,48 fps,98809,-1.0,
590,48 frames per second,323994,0.0,
591,4:3,89904,-1.0,
592,4:3 aspect ratio,133780,1.0,
593,4:3 format,108819,1.0,
594,4d,94729,0.0,
595,4DX,397905,3.0,
596,4K,144148,1.0,
597,4th wall,444099,74.0,
598,5,22829,-26.0,
599,5 Han Solos,112852,-1.0,
600,5 stars,42953,-106.0,
601,5+ out of 5,42219,-14.0,
602,5++,181510,-1.0,
603,5+++,115713,0.0,
604,"5,2-filmafinity",110730,0.0,
605,"5,4-filmaffinity",4725,0.0,
606,"5,6-filmafinity",108190,-1.0,
607,5-7-2008,55276,-4.0,
608,5-8-2007,98851,-17.0,
609,5-FilmAffinity,107953,1.0,
610,5.1-FilmAffinity,104243,-1.0,
611,5.3-FilmAffinity,101112,1.0,
612,5.5-FilmAffinity,139602,0.0,
613,5.7-FilmAffinity,80945,1.0,
614,5.8-FilmAffinity,73321,-1.0,
615,5.9-FilmAffinity,289724,1.0,
616,50 Cent,282344,-10.0,50 cent;
617,50 shades of gray,101997,0.0,
618,50's,64535,2.0,
619,50's & 60's,81192,1.0,
620,50's & 60's music,3619,0.0,
621,50000 on Double Dragon,4683,-1.0,
622,504b,7153,1.0,
623,50s,231139,2.0,
624,50s sci-fi,8345,0.0,
625,50s-60s popcorn movie,5313,-1.0,
626,55 FilmAffinity,3499,1.0,
627,55 movies every kid should see--Entertainment Weekly,653078,14.0,
628,5\+++,318,1.0,
629,5th century,8640,0.0,
630,5th dimention,109487,1.0,
631,6,31414,-10.0,
632,6 souls,81140,0.0,
633,"6,2-filmaffinity",2600,1.0,
634,"6,5-filmaffinity",407,0.0,
635,6-10-2007,46972,-7.0,
636,6-4-2007,46578,-10.0,
637,6.1-FilmAffinity,114053,0.0,
638,6.2-FilmAffinity,165865,-2.0,
639,6.3-FilmAffinity,103328,3.0,
640,6.4-FilmAffinity,196975,-2.0,
641,6.5-FilmAffinity,288689,-1.0,
642,6.7-FilmAffinity,105544,1.0,
643,6.8-FilmAffinity,82482,1.0,
644,60's,787361,5.0,
645,60s,461480,14.0,
646,60s horror,107304,3.0,
647,60s music,68073,2.0,
648,60s sci-fi,8341,3.0,
649,6565858tfkjfk,4308,-10.0,
650,65mm,108046,0.0,
651,663,185977,1.0,
652,666,51241,3.0,
653,6ir6,253,-10.0,
654,7,8405,-10.0,
655,7 days,81138,1.0,
656,7 Up,52767,0.0,
657,7-10-2007,912,-8.0,
658,7-2007,2357,-2.0,
659,7-4-2007,45210,-10.0,
660,7.0-FilmAffinity,206411,1.0,
661,7.1-FilmAffinity,175187,-3.0,
662,7.2-FilmAffinity,503023,-6.0,
663,7.3-FilmAffinity,83097,-1.0,
664,7.4-FilmAffinity,69531,0.0,
665,7.5-FilmAffinity,181384,-1.0,
666,7.6-FilmAffinity,57060,1.0,
667,7.7-FilmAffinity,75752,0.0,
668,7.8-FilmAffinity,2028,0.0,
669,70',30675,1.0,
670,70's,583948,4.0,
671,70's new york,9050,2.0,
672,70's style ending,42418,-2.0,
673,70's vibe,6500,1.0,
674,70mm,2967335,-472.0,
675,70mm blowup,214326,-21.0,
676,70s,1802108,43.0,
677,70s aesthetic,161348,3.0,
678,70s horror,5073,0.0,
679,70s plot,1387,1.0,
680,70s sci-fi,10344,1.0,
681,7n Up (series),339935,0.0,
682,8,145011,-9.0,
683,8 bit,190613,1.0,
684,8.2-FilmAffinity,1208,-1.0,
685,8.3-FilmAffinity,1266,1.0,
686,8.4-FilmAffinity,1193,0.0,
687,8.7-FilmAffinity,527,1.0,
688,80,316793,1.0,
689,80',3039,1.0,
690,80's,1870856,30.0,
691,80's animation,4006,-1.0,
692,80's band,139329,1.0,
693,80's cartoons,4006,0.0,
694,80's cheese,34364,3.0,
695,80's classic,19289,20.0,
696,80's cult movie,4121,2.0,
697,80's fashion,1777,0.0,
698,80's goth cult movie,3550,0.0,
699,80's high fantasy,6300,5.0,
700,80's humor,1091,0.0,
701,80's movies,166044,1.0,
702,80's Music,6345,0.0,80's music;
703,80's nostalgia,136363,11.0,
704,80's slang,4135,1.0,
705,80's soundtrack,157961,2.0,80's Soundtrack;
706,80's style,163979,1.0,
707,80s,2429211,89.0,
708,80s horror,110315,3.0,80s Horror;
709,80s music,225752,9.0,
710,80s nostalgia,311830,25.0,
711,80s sci-fi,541,0.0,
712,80s Slasher,192787,4.0,
713,80s soundtrack,1500,9.0,
714,80s synth music,2161,2.0,
715,80s video,6019473,62.0,
716,80s video games,140956,15.0,
717,80´s,1198,1.0,
718,85,1779,-5.0,
719,89,1246,-5.0,
720,8o's,134170,8.0,
721,9,3025,-6.0,
722,9-11,189258,1.0,
723,9-2-2007,49530,-16.0,
724,9-2007,49280,-3.0,
725,9/1,98961,1.0,
726,9/11,1816224,38.0,
727,9/11 Fixation,5954,-1.0,
728,9/11 reference,109578,6.0,
729,90 minute story stretched to ~180,41997,-5.0,
730,90% computer graphics,72369,1.0,
731,90% drama 10% comedy,56333,-3.0,
732,90's,529014,6.0,
733,90's Action,733,1.0,
734,90's internet,2424,1.0,
735,90's music,121029,1.0,
736,90210 on acid,1529,-1.0,
737,90s,759988,11.0,
738,90s atmosphere,1805,0.0,
739,90s classic,480,1.0,
740,90s club culture,3581,6.0,
741,90s cynicisim,1594,3.0,
742,90s dystopia,198,2.0,
743,90s horror,1339,1.0,
744,90s kid,287,2.0,
745,90s sci-fi,5688,4.0,
746,911,191930,-4.0,
747,94 long minutes,6707,-5.0,
748,95% of the spectators left early,7024,1.0,
